,balance,equity
0,9999.845787458999,10000.0
60,9999.845787458999,10004.413667458999
120,9999.845787458999,10007.448607458997
180,9999.845787458999,10006.553952458997
240,9995.313130019,9998.627777458996
300,9995.313130019,9994.607200019003
360,9995.313130019,9994.528505019
420,9995.313130019,10003.365840018998
480,9995.313130019,10006.354575019
540,9995.313130019,10008.116415018998
600,9995.313130019,10013.508475019
660,9995.313130019,10014.289230019001
720,9995.313130019,10020.139585018998
780,9995.313130019,10016.161255019002
840,9995.313130019,10018.651115018998
900,9995.313130019,10025.403935019
960,9996.879727959,10031.092275018998
1020,9996.879727959,10025.442927959
1080,9996.879727959,10032.470907959001
1140,10004.593724479,10031.326637959
1200,10004.593724479,10039.513104479
1260,10004.593724479,10038.449209479
1320,10004.593724479,10041.775754478998
1380,10004.593724479,10041.100214479002
1440,10004.593724479,10043.295284479
1500,10004.593724479,10055.641504479
1560,10004.593724479,10055.862914479003
1620,10004.593724479,10053.869104479003
1680,10004.593724479,10051.380694479
1740,10004.593724479,10053.077924479
1800,10004.593724479,10053.503784479
1860,10004.593724479,10052.161994479
1920,10004.593724479,10055.261349478998
1980,10004.593724479,10062.446909478998
2040,10004.593724479,10061.373809478999
2100,10004.593724479,10061.322764479002
2160,10004.593724479,10055.735599479
2220,10004.593724479,10049.349359479
2280,10012.837371047,10052.388074479
2340,10017.773033447002,10037.120991047
2400,10017.773033447002,10036.748813447004
2460,10017.773033447002,10039.447143447002
2520,10017.773033447002,10038.696613447
2580,10017.773033447002,10041.794743447
2640,10020.184538351,10036.960403447
2700,10020.184538351,10030.104638351
2760,10020.184538351,10033.038988351
2820,10026.431877471001,10032.154388351
2880,10026.431877471001,10029.340627471
2940,10026.431877471001,10032.927527471002
3000,10026.431877471001,10034.758277470999
3060,10026.431877471001,10033.940427471001
3120,10026.431877471001,10036.623977471001
3180,10026.431877471001,10050.606877470998
3240,10026.431877471001,10054.995077471003
3300,10026.431877471001,10052.848877471002
3360,10026.431877471001,10046.890027470998
3420,10033.437708831001,10050.276777471003
3480,10033.420459491,10049.850308830999
3540,10024.161346831,10049.066359491
3600,10753.054638146461,10017.956396831001
3660,10760.638782368074,10843.689798107001
3720,10767.99111749655,10830.582910707002
3780,10767.99111749655,10827.209388547
3840,10767.99111749655,10851.514528547004
3900,10767.99111749655,10847.980498547002
3960,10773.289614032217,10840.828918547002
4020,10773.289614032217,10832.487493227
4080,10773.289614032217,10842.163973226998
4140,10773.289614032217,10858.552913226997
4200,10773.289614032217,10860.966803227004
4260,10777.998052992218,10849.346503226998
4320,10777.998052992218,10844.549062187001
4380,10777.998052992218,10852.298932187003
4440,10776.162969592218,10837.260062187
4500,10776.162969592218,10857.617518787
4560,10776.162969592218,10854.932978787
4620,10776.162969592218,10858.284408787
4680,10776.162969592218,10860.784728786999
4740,10776.162969592218,10863.794498787001
4800,10776.162969592218,10855.355138787
4860,10776.162969592218,10848.466118787004
4920,10773.512807252218,10853.452848787003
4980,10773.512807252218,10854.510396447002
5040,10773.512807252218,10856.045116447001
5100,10773.512807252218,10860.765466447001
5160,10773.512807252218,10862.241176447002
5220,10781.724611970863,10886.039806447003
5280,10781.724611970863,10899.189064047001
5340,10781.724611970863,10884.355684047003
5400,10781.724611970863,10885.624064047
5460,10782.672595570863,10885.445544047
5520,10782.672595570863,10887.216467647002
5580,10782.672595570863,10889.290867647
5640,10783.385795830864,10885.238017647005
5700,10783.385795830864,10884.153557907004
5760,10783.385795830864,10883.884647907002
5820,10831.337571679634,10884.694277907003
5880,10831.337571679634,10861.100741597002
5940,10831.337571679634,10852.144841597003
6000,10828.667797759636,10852.146131597003
6060,10828.667797759636,10849.737987677006
6120,10828.667797759636,10853.403947677003
6180,10828.667797759636,10856.237097677003
6240,10828.667797759636,10851.272827677005
6300,10828.667797759636,10852.378037677001
6360,10828.667797759636,10861.587607677004
6420,10828.667797759636,10846.650887677004
6480,10828.667797759636,10841.200557677004
6540,10828.667797759636,10842.441777677004
6600,10833.649926729884,10845.765087677002
6660,10833.649926729884,10822.256544357004
6720,10833.649926729884,10828.514794357003
6780,10824.203994029884,10816.711444357
6840,10824.203994029884,10826.553491657003
6900,10824.203994029884,10825.727391657001
6960,10824.203994029884,10826.319251657002
7020,10824.203994029884,10833.305291657001
7080,10824.203994029884,10833.039711657004
7140,10824.203994029884,10839.990751657
7200,10824.203994029884,10846.688741657003
7260,10824.203994029884,10841.201461657003
7320,10824.203994029884,10834.819681657002
7380,10824.203994029884,10838.053601657002
7440,10822.784395579883,10834.662351657002
7500,10815.725193623884,10827.603153207005
7560,10815.725193623884,10810.090171251002
7620,10815.725193623884,10793.050391251001
7680,10815.725193623884,10805.203531251002
7740,10815.725193623884,10811.949431251003
7800,10815.725193623884,10814.291971251007
7860,10815.725193623884,10811.662071251005
7920,10815.725193623884,10816.309731251002
7980,10815.725193623884,10814.527291251004
8040,10815.725193623884,10818.965871251003
8100,10815.725193623884,10826.051891251005
8160,10815.725193623884,10820.669531251004
8220,10815.725193623884,10820.375391251
8280,10815.725193623884,10826.536591251002
8340,10815.725193623884,10823.224351251
8400,10815.725193623884,10817.720531251003
8460,10815.725193623884,10813.797931251003
8520,10815.725193623884,10819.286591251002
8580,10815.725193623884,10816.788231251006
8640,10815.725193623884,10820.147771251004
8700,10815.725193623884,10830.415651251004
8760,10815.725193623884,10823.512691251002
8820,10815.725193623884,10818.590491251003
8880,10815.725193623884,10822.251011251003
8940,10815.725193623884,10828.573631251007
9000,10815.725193623884,10824.786111251004
9060,10819.135583143885,10827.856311251
9120,10819.135583143885,10823.137100771002
9180,10815.056596343886,10815.702770771006
9240,10815.056596343886,10810.563663971003
9300,10815.056596343886,10815.285773971005
9360,10815.056596343886,10814.302223971003
9420,10815.056596343886,10813.364563971003
9480,10815.056596343886,10822.241023971004
9540,10815.056596343886,10824.872293971002
9600,10813.387565483887,10811.576033971005
9660,10813.387565483887,10797.170813111004
9720,10813.387565483887,10807.764043111005
9780,10813.387565483887,10811.215043111006
9840,10813.387565483887,10810.223713111005
9900,10813.387565483887,10804.437873111005
