,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
0,14299,LINKUSDT,0.0,-0.4000032,999.5999968,206.4,9.69,206.4,9.69,entry_initial_normal_long
1,14326,LINKUSDT,13.44000000000002,-0.039897600000000005,1013.0000992,-19.2,10.39,187.2,9.69,close_trailing_long
2,14329,LINKUSDT,7.3332000000000015,-0.039063839999999996,1020.29423536,-19.4,10.068,167.8,9.69,close_trailing_long
3,14340,LINKUSDT,9.555000000000003,-0.039702,1029.80953336,-19.5,10.18,148.3,9.69,close_trailing_long
4,14352,LINKUSDT,15.641800000000009,-0.04130696,1045.4100263999999,-19.7,10.484,128.6,9.69,close_trailing_long
5,14383,LINKUSDT,31.320000000000014,-0.045024,1076.6850023999998,-20.0,11.256,108.6,9.69,close_trailing_long
6,14387,LINKUSDT,31.7652,-0.04627584,1108.4039265599997,-20.6,11.232,88.0,9.69,close_trailing_long
7,14395,LINKUSDT,22.175200000000025,-0.04552064000000001,1130.5336059199997,-21.2,10.736,66.8,9.69,close_trailing_long
8,14401,LINKUSDT,25.54090000000003,-0.04716278000000001,1156.0273431399996,-21.7,10.867,45.1,9.69,close_trailing_long
9,14404,LINKUSDT,22.65250000000001,-0.0473603,1178.6324828399997,-22.1,10.715,23.0,9.69,close_trailing_long
10,14408,LINKUSDT,26.69060000000002,-0.04913692000000001,1205.2739459199997,-22.6,10.871,0.4,9.69,close_trailing_long
11,14415,LINKUSDT,0.38040000000000024,-0.00085128,1205.6534946399997,-0.4,10.641,0.0,9.69,close_trailing_long
12,40537,LTCUSDT,0.0,-0.483228,1205.1702666399997,18.0,134.23,18.0,134.23,entry_initial_normal_long
13,40561,LTCUSDT,16.52400000000001,-0.051627599999999996,1221.6426390399997,-1.8,143.41,16.2,134.23,close_trailing_long
14,40572,LTCUSDT,17.425,-0.0491232,1239.0185158399997,-1.7,144.48,14.5,134.23,close_trailing_long
15,40581,LTCUSDT,19.38600000000002,-0.0522,1258.3523158399998,-1.8,145.0,12.7,134.23,close_trailing_long
16,40587,LTCUSDT,11.502000000000027,-0.05062320000000001,1269.8036926399998,-1.8,140.62,10.9,134.23,close_trailing_long
17,40641,LTCUSDT,20.537999999999993,-0.0524304,1290.2892622399997,-1.8,145.64,9.1,134.23,close_trailing_long
18,40654,LTCUSDT,14.598000000000026,-0.0512424,1304.8360198399998,-1.8,142.34,7.3,134.23,close_trailing_long
19,40667,LTCUSDT,14.155000000000031,-0.0538384,1318.93718144,-1.9,141.68,5.4,134.23,close_trailing_long
20,40681,LTCUSDT,12.939000000000004,-0.0535952,1331.82258624,-1.9,141.04,3.5,134.23,close_trailing_long
21,40722,LTCUSDT,10.222000000000046,-0.0530518,1341.9915344400001,-1.9,139.61,1.6,134.23,close_trailing_long
22,40804,LTCUSDT,9.920000000000028,-0.04493760000000001,1351.86659684,-1.6,140.43,0.0,134.23,close_trailing_long
23,41318,LTCUSDT,0.0,-0.541344,1351.32525284,24.0,112.78,24.0,112.78,entry_initial_normal_long
24,41324,LTCUSDT,10.533999999999995,-0.0539856,1361.8052672400001,-2.3,117.36,21.7,112.78,close_trailing_long
25,41346,LTCUSDT,13.179000000000007,-0.054514599999999996,1374.92975264,-2.3,118.51,19.4,112.78,close_trailing_long
26,41378,LTCUSDT,35.465999999999966,-0.058972,1410.3367806400001,-2.3,128.2,17.1,112.78,close_trailing_long
27,41386,LTCUSDT,33.23999999999999,-0.0607824,1443.51599824,-2.4,126.63,14.7,112.78,close_trailing_long
28,41410,LTCUSDT,31.775999999999986,-0.0604896,1475.2315086400001,-2.4,126.02,12.3,112.78,close_trailing_long
29,41453,LTCUSDT,36.02499999999999,-0.06359500000000001,1511.1929136400001,-2.5,127.19,9.8,112.78,close_trailing_long
30,41472,LTCUSDT,29.67500000000001,-0.062325000000000005,1540.8055886400002,-2.5,124.65,7.3,112.78,close_trailing_long
31,41487,LTCUSDT,22.51599999999999,-0.0631488,1563.2584398400002,-2.6,121.44,4.7,112.78,close_trailing_long
32,41522,LTCUSDT,25.376000000000015,-0.06372080000000001,1588.57071904,-2.6,122.54,2.1,112.78,close_trailing_long
33,41548,LTCUSDT,20.096999999999987,-0.051387,1608.61633204,-2.1,122.35,0.0,112.78,close_trailing_long
34,90863,XTZUSDT,0.0,-0.64348048,1607.97285156,831.8,3.868,831.8,3.868,entry_initial_normal_long
35,90892,XTZUSDT,22.987800000000014,-0.06447420000000001,1630.89617736,-77.4,4.165,754.4,3.868,close_trailing_long
36,90901,XTZUSDT,18.197300000000006,-0.06405762,1649.0294197399999,-78.1,4.101,676.3,3.868,close_trailing_long
37,90907,XTZUSDT,19.750000000000036,-0.06506440000000001,1668.7143553399999,-79.0,4.118,597.3,3.868,close_trailing_long
38,90944,XTZUSDT,28.923800000000046,-0.06759540000000001,1697.5705599399998,-79.9,4.23,517.4,3.868,close_trailing_long
39,90965,XTZUSDT,30.243600000000026,-0.0689424,1727.7452175399999,-81.3,4.24,436.1,3.868,close_trailing_long
40,90971,XTZUSDT,16.31160000000004,-0.0673164,1743.98950114,-82.8,4.065,353.3,3.868,close_trailing_long
41,90994,XTZUSDT,19.789500000000046,-0.06855350000000002,1763.71044764,-83.5,4.105,269.8,3.868,close_trailing_long
