,balance,equity
0,999.9750289240001,1000.0
60,999.9709805040001,1000.281518924
120,999.967743604,1000.825110504
180,999.965036884,1000.030063604
240,999.9629881440001,999.168286884
300,999.961261956,998.7770581440001
360,999.961261956,998.403351956
420,999.961261956,998.8089419560001
480,999.961261956,998.9582019560002
540,999.959100606,998.8351819560002
600,999.959100606,999.5691506060001
660,999.959100606,999.642110606
720,999.959100606,999.844370606
780,999.959100606,1001.0062706059999
840,999.959100606,1001.4034106059999
900,999.959100606,1001.1158706059999
960,999.959100606,1002.307470606
1020,999.959100606,1002.118430606
1080,999.959100606,1002.670170606
1140,999.959100606,1003.743310606
1200,999.959100606,1004.619510606
1260,999.959100606,1005.2016306060001
1320,999.959100606,1005.0333506059999
1380,999.959100606,1005.0586106060001
1440,999.959100606,1005.7749306060001
1500,999.959100606,1007.0005306059999
1560,999.959100606,1006.595710606
1620,999.959100606,1006.6054906059999
1680,999.959100606,1006.3690506059999
1740,999.959100606,1006.727310606
1800,999.959100606,1006.7239706060002
1860,999.959100606,1006.557670606
1920,999.959100606,1007.932150606
1980,999.959100606,1008.712150606
2040,999.959100606,1009.930290606
2100,999.959100606,1010.1020706060001
2160,999.959100606,1008.195930606
2220,999.959100606,1007.053430606
2280,1001.836182926,1007.7476906060001
2340,1003.2430151560001,1005.0013729259999
2400,1003.239747596,1004.2788751559999
2460,1004.4555350759999,1004.4210675960001
2520,1004.4555350759999,1003.817145076
2580,1004.4555350759999,1003.432655076
2640,1004.4555350759999,1002.957575076
2700,1004.4555350759999,1002.256395076
2760,1004.4555350759999,1002.6328550759998
2820,1004.4555350759999,1002.621155076
2880,1004.4555350759999,1002.9176450759999
2940,1004.4533631959999,1003.8078050759999
3000,1004.4533631959999,1003.936553196
3060,1004.4533631959999,1003.6737631959999
3120,1004.4526205159999,1003.083973196
3180,1004.4526205159999,1003.583480516
3240,1004.4526205159999,1004.8824405160001
3300,1004.4526205159999,1004.7262805159999
3360,1004.4526205159999,1004.1174405159999
3420,1004.4526205159999,1005.3588605159999
3480,1004.4526205159999,1004.9869805159999
3540,1001.755423276,1004.8885605159998
3600,1110.3638934408345,1001.7283032759999
3660,1110.3638934408345,1161.2419060099999
3720,1115.34947005398,1153.2959660099998
3780,1116.0685505474887,1149.8949882099998
3840,1116.0680230074888,1160.51631527
3900,1114.0017406074887,1158.1642777299999
3960,1114.6845267231613,1156.3110353299999
4020,1114.6845267231613,1153.24831249
4080,1114.6841512231613,1154.44852249
4140,1114.6839157231614,1160.58317699
4200,1114.6831452031613,1163.5660714900002
4260,1114.8943671631614,1160.6690509700002
4320,1114.8938432631614,1158.6678129300003
4380,1126.1734200782682,1159.6899290300003
4440,1127.910384448531,1155.9279296879997
4500,1127.910384448531,1160.9556924879996
4560,1127.910384448531,1161.0160724879997
4620,1127.910384448531,1162.1229124879997
4680,1127.9089391885311,1163.3476724879993
4740,1127.9067855885312,1163.3527872279997
4800,1128.0232996785312,1160.738803628
4860,1128.0228085185313,1159.0117577179997
4920,1128.0220855885314,1161.096706558
4980,1128.0220855885314,1160.1419636280002
5040,1128.0220855885314,1161.013423628
5100,1128.0220855885314,1163.3075736280002
5160,1128.0215794885314,1162.9066036279999
5220,1128.0195550085314,1170.2727875280002
5280,1128.0160782685314,1173.9033030480002
5340,1128.0155850285314,1169.6084930680001
5400,1128.0155850285314,1170.2590330680002
5460,1128.0155850285314,1170.710973068
5520,1128.0155850285314,1173.131793068
5580,1128.0155850285314,1173.036393068
5640,1128.0155850285314,1171.9772430680002
5700,1128.0155850285314,1171.6073630680003
5760,1128.0155850285314,1171.993533068
5820,1159.2809688099999,1171.191723068
5880,1159.2809688099999,1165.3855188099997
5940,1159.2809688099999,1164.0045188099998
6000,1159.2809688099999,1164.0163388099998
6060,1159.2809688099999,1163.3804788099999
6120,1159.2809688099999,1164.0305588099995
6180,1159.2809688099999,1164.32955881
6240,1159.27892355,1163.7465988099998
6300,1159.27892355,1164.1577335499999
6360,1159.27892355,1164.60149355
6420,1159.27892355,1162.4601335500001
6480,1159.27892355,1161.72069355
6540,1159.27892355,1162.4508535499997
6600,1159.27892355,1162.8641335499997
6660,1159.27892355,1159.89989355
6720,1157.0521467199999,1160.7482935499997
6780,1157.0499989599998,1158.8101667199999
6840,1157.04801992,1159.6382089599997
6900,1157.04801992,1159.3890299199995
6960,1157.04801992,1159.3139099200002
7020,1157.04801992,1160.38542992
7080,1157.04801992,1160.3363899199996
7140,1157.04801992,1160.5527099199996
7200,1157.04801992,1160.90262992
7260,1157.04801992,1159.8495899199995
7320,1157.04801992,1158.4413499200002
7380,1157.04801992,1158.3163099199999
7440,1157.04801992,1158.22110992
7500,1152.8379440300002,1157.0727099199999
7560,1152.8353092000002,1153.7969640300005
7620,1152.8294595160003,1152.5422492000002
7680,1152.8294595160003,1154.5067495160001
7740,1152.8294595160003,1155.398249516
7800,1153.1946788698465,1155.2150495160004
7860,1153.1932350898464,1154.8271227160003
7920,1153.1932350898464,1155.119278936
7980,1153.1932350898464,1154.8544789360005
8040,1153.1913378498464,1155.7935289360003
8100,1153.1913378498464,1157.010281696
8160,1153.1913378498464,1157.009181696
8220,1153.1913378498464,1157.7045816960003
8280,1153.1913378498464,1160.3020816960002
8340,1153.1913378498464,1158.9968316960003
8400,1153.1913378498464,1158.3971816960004
8460,1153.1913378498464,1156.9225316960003
8520,1153.1913378498464,1157.1779816960004
8580,1153.1913378498464,1155.9113816960003
8640,1153.1913378498464,1156.6378316960001
8700,1153.1913378498464,1158.1440816960003
8760,1153.1913378498464,1156.893631696
8820,1153.1913378498464,1156.1745816960004
8880,1153.1913378498464,1156.7993816960004
8940,1153.1913378498464,1158.4979816960001
9000,1153.1913378498464,1158.170681696
9060,1153.1913378498464,1157.9878816960004
9120,1154.2701014398465,1157.6379316960004
9180,1154.2701014398465,1156.1341952860002
9240,1154.2659998298464,1155.2113952860002
9300,1154.6791032604974,1155.4779436760002
9360,1154.6791032604974,1155.6664192960004
9420,1154.6771243004973,1155.8969692960002
