,balance,equity
0,999.986615048,1000.0
60,999.986615048,999.9559350479999
120,999.986615048,999.832945048
180,999.986615048,999.958425048
240,999.986615048,1000.1605050480001
300,999.986615048,1000.168805048
360,999.986615048,1000.2145850480001
420,999.986615048,1000.0159650479999
480,999.986615048,999.964165048
540,999.986615048,999.9498050479999
600,999.986615048,999.8845450480001
660,999.986615048,999.7974650479999
720,999.986615048,999.737705048
780,999.986615048,999.7129850480001
840,999.986615048,999.6597150480001
900,999.986615048,999.760675048
960,999.986615048,999.4890850479999
1020,999.986615048,999.5533050479999
1080,999.678212968,999.4849150479998
1140,999.1393836560001,999.292982968
1200,999.1393836560001,999.036623656
1260,999.1393836560001,998.910963656
1320,999.1393836560001,998.9276536560001
1380,998.4691257360001,998.8658136560001
1440,998.4691257360001,998.3861557360002
1500,998.4691257360001,998.1733757360003
1560,998.4691257360001,998.222295736
1620,998.4691257360001,998.2225457360003
1680,998.4691257360001,998.2768157360002
1740,998.4691257360001,998.3742157360001
1800,998.4691257360001,998.5408557360001
1860,998.4691257360001,998.6860457360002
1920,998.4691257360001,998.4976357360001
1980,998.4691257360001,998.110865736
2040,998.4691257360001,998.3076657360001
2100,998.4691257360001,998.423105736
2160,998.4691257360001,998.5775857360002
2220,998.4691257360001,998.7845657360001
2280,998.6757114960001,998.5666957360002
2340,998.6757114960001,999.3595614960001
2400,998.6757114960001,999.6856914960001
2460,998.6757114960001,999.2804314960001
2520,998.6757114960001,999.4780414960001
2580,998.6757114960001,999.462841496
2640,998.6757114960001,999.7281814960002
2700,998.6757114960001,1000.387691496
2760,998.6757114960001,1000.501461496
2820,998.6757114960001,1000.6786614960001
2880,998.6757114960001,1000.8033814959999
2940,998.6757114960001,1000.5339514960001
3000,998.6757114960001,1000.2353814960002
3060,998.6757114960001,1000.390431496
3120,998.6757114960001,1000.390751496
3180,998.6757114960001,1000.4728814960001
3240,998.6757114960001,1000.1515314960001
3300,998.6757114960001,999.9021114960003
3360,998.6757114960001,1000.4270114960001
3420,998.1326112480001,999.9034914960001
3480,998.1326112480001,999.8932112480003
3540,998.1326112480001,1000.172431248
3600,1023.8049123209266,1002.2321812480001
3660,1023.8049123209266,1049.910260564
3720,1023.8049123209266,1048.264480564
3780,1023.8002678089267,1045.7348805640002
3840,1023.7978612089267,1054.167666052
3900,1023.7978612089267,1052.660979452
3960,1023.7978612089267,1049.743189452
4020,1023.7978612089267,1045.337689452
4080,1023.7978612089267,1047.158679452
4140,1023.7978612089267,1049.499859452
4200,1023.7978612089267,1051.421899452
4260,1023.7978612089267,1048.9032094519998
4320,1023.7978612089267,1047.8532494520002
4380,1023.7978612089267,1048.620829452
4440,1023.7978612089267,1045.317709452
4500,1023.8510364089268,1050.0485394520003
4560,1023.8510364089268,1052.9129346520003
4620,1023.8510364089268,1053.127064652
4680,1023.8510364089268,1052.820194652
4740,1023.3988424509268,1053.945464652
4800,1023.3988424509268,1054.0189706940002
4860,1023.3988424509268,1052.973440694
4920,1023.3988424509268,1052.4146806940003
4980,1023.3988424509268,1051.8606006940001
5040,1023.3988424509268,1053.6735006940003
5100,1023.3988424509268,1054.339830694
5160,1022.5908367909269,1054.9615706940006
5220,1022.1710799309269,1060.8065450340002
5280,1022.1710799309269,1060.4047681740003
5340,1022.1710799309269,1058.2183881740002
5400,1022.1710799309269,1058.621538174
5460,1022.1710799309269,1058.5362681740003
5520,1022.1710799309269,1059.5967581740001
5580,1022.1710799309269,1060.937848174
5640,1022.1710799309269,1059.762378174
5700,1022.1710799309269,1058.5580081740002
5760,1022.1710799309269,1058.1830781740005
5820,1023.1464481325867,1058.060418174
5880,1023.1464481325867,1050.3584107740003
5940,1023.1464481325867,1048.9622307739999
6000,1023.1464481325867,1049.551390774
6060,1023.1464481325867,1048.911110774
6120,1023.1464481325867,1050.0577007740005
6180,1023.1464481325867,1050.7793807740004
6240,1023.1464481325867,1050.001810774
6300,1023.1464481325867,1050.5553207740002
6360,1023.1464481325867,1051.2937407740005
6420,1023.1464481325867,1048.9702207740002
6480,1023.1464481325867,1047.616460774
6540,1023.1464481325867,1048.1549007740005
6600,1023.1464481325867,1048.5806707740005
6660,1031.5940482048657,1045.1346507740002
6720,1031.5940482048657,1045.6141514140004
6780,1031.5910947648656,1044.972371414
6840,1031.5910947648656,1046.0520079740002
6900,1031.5910947648656,1045.7987979739999
6960,1031.5910947648656,1046.3078679740004
7020,1031.5910947648656,1047.2332879740004
7080,1031.5910947648656,1047.5213679740002
7140,1031.5910947648656,1047.9824779740002
7200,1031.5910947648656,1047.9936979740003
7260,1031.5910947648656,1047.5766279740005
7320,1031.5910947648656,1046.861197974
7380,1031.5910947648656,1047.278637974
7440,1031.5910947648656,1047.132207974
7500,1031.5910947648656,1046.1823079740004
7560,1030.2259544848655,1044.306307974
7620,1030.2259544848655,1042.314897694
7680,1030.2259544848655,1043.3882376940003
7740,1030.2259544848655,1043.857887694
7800,1030.2259544848655,1043.9058376940002
7860,1031.6661037448655,1043.8616076940002
7920,1031.6661037448655,1044.2059369540004
7980,1031.6661037448655,1044.1702769540002
8040,1031.6661037448655,1044.1360769540001
8100,1031.1377238448654,1044.8126669540002
8160,1031.1377238448654,1045.385367054
8220,1031.1377238448654,1044.9829570539998
8280,1031.1377238448654,1045.1681470540002
8340,1031.1377238448654,1044.831947054
8400,1031.1377238448654,1044.415207054
8460,1031.1377238448654,1044.3310770539997
8520,1031.1377238448654,1044.450067054
8580,1031.3867901048652,1044.0939470540002
8640,1031.3867901048652,1044.0340233139998
8700,1031.3867901048652,1044.5661133139995
8760,1031.3867901048652,1043.9542233139998
8820,1032.285012482865,1043.8047933139999
8880,1032.285012482865,1043.9048056919999
8940,1032.285012482865,1044.2462156919996
9000,1032.285012482865,1044.1222556919995
9060,1032.285012482865,1044.4664856919997
9120,1032.285012482865,1044.0379656919997
9180,1032.285012482865,1043.3658056919999
9240,1032.285012482865,1042.7277156919993
9300,1032.1874396828653,1043.0874656919998
9360,1032.1874396828653,1042.5310728919997
9420,1032.1874396828653,1042.647662892
9480,1032.1874396828653,1043.2253528919998
9540,1032.1874396828653,1043.0659028920002
9600,1032.1874396828653,1042.0368028919997
9660,1032.1874396828653,1041.2240928919998
9720,1032.1874396828653,1041.900272892
9780,1032.1874396828653,1042.004282892
9840,1032.1874396828653,1042.061272892
9900,1032.1874396828653,1041.565132892
9960,1034.1336288999996,1040.8925028919998
10020,1034.1336288999996,1039.7660888999994
10080,1034.1336288999996,1039.9696288999994
10140,1034.1336288999996,1040.1511488999997
10200,1035.0959960879998,1040.0035788999994
10260,1035.0959960879998,1039.8492860879996
10320,1035.0959960879998,1039.8324960879997
10380,1035.0959960879998,1039.8048860879996
10440,1036.336534248,1039.791696088
10500,1036.336534248,1039.7487942479995
10560,1036.336534248,1039.842734248
10620,1036.336534248,1039.895854248
10680,1036.336534248,1039.8905942479998
10740,1037.028936066,1039.864894248
10800,1038.137664186,1039.821686066
10860,1038.137664186,1039.6548741860004
10920,1036.4732678379999,1039.581304186
10980,1036.4732678379999,1039.5551078379997
11040,1036.4732678379999,1039.4237378379999
11100,1037.0274772479997,1039.4220478379998
11160,1036.4914294679998,1039.3896572479996
11220,1035.0318862479999,1039.727139468
11280,1039.0478913279999,1040.2179862479998
11340,1039.046698228,1039.651281328
11400,1039.046698228,1039.844158228
11460,1039.046698228,1038.7682682280001
11520,1039.046698228,1039.374948228
11580,1039.046698228,1039.860708228
11640,1037.8742874680001,1039.9756182280003
11700,1037.8742874680001,1038.5990274680005
11760,1037.215301868,1038.5813974679998
11820,1037.215301868,1037.944051868
11880,1037.215301868,1038.3547018680003
11940,1036.8792240480002,1038.1969618679998
12000,1036.8792240480002,1038.0501240480003
12060,1037.2166963480001,1038.421314048
12120,1037.2166963480001,1038.7195163480003
12180,1037.2166963480001,1038.6861563480002
12240,1037.2463209680002,1038.4454063479996
12300,1037.4918487080001,1038.5790409680003
12360,1037.4918487080001,1038.079568708
12420,1037.4918487080001,1038.6140887080003
