,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
0,2,DOGEUSDT,0.0,-0.0029597700000000005,999.99704023,165.0,0.08969,165.0,0.08969,entry_initial_normal_long
1,2,SHIB1000USDT,0.0,-0.002964962,999.9940752680001,1430.0,0.010367,1430.0,0.010367,entry_initial_normal_long
2,2,1000BONKUSDT,0.0,-0.00026776,999.993807508,-100.0,0.013388,-100.0,0.013388,entry_initial_normal_short
3,2,1000PEPEUSDT,0.0,-0.0001297,999.993677808,-500.0,0.001297,-500.0,0.001297,entry_initial_normal_short
4,2,SHIB1000USDT,0.0,-0.000145138,999.99353267,-70.0,0.010367,-70.0,0.010367,entry_initial_normal_short
5,3,1000BONKUSDT,0.0,-0.0029524000000000004,999.99058027,1100.0,0.01342,1100.0,0.01342,entry_initial_normal_long
6,3,1000PEPEUSDT,0.0,-0.0029610360000000002,999.987619234,11400.0,0.0012987,11400.0,0.0012987,entry_initial_normal_long
7,3,DOGEUSDT,0.0,-0.000143488,999.987475746,-8.0,0.08968,-8.0,0.08968,entry_initial_normal_short
8,255,1000BONKUSDT,0.0,-0.00205872,999.9854170259999,800.0,0.012867,1900.0,0.013187157894736842,entry_grid_normal_long
9,432,1000BONKUSDT,-0.005299999999999923,-0.00026882,999.9798482059999,100.0,0.013441,0.0,0.013388,close_trailing_short
10,434,1000BONKUSDT,0.0,-0.00026784,999.9795803659999,-100.0,0.013392,-100.0,0.013392,entry_initial_normal_short
11,764,1000PEPEUSDT,-0.01380000000000001,-0.00013246000000000002,999.965647906,500.0,0.0013246,0.0,0.001297,close_trailing_short
12,765,1000PEPEUSDT,0.0,-0.00013233,999.9655155759999,-500.0,0.0013233,-500.0,0.0013233,entry_initial_normal_short
13,1164,1000BONKUSDT,-0.05680000000000008,-0.0002792,999.9084363759999,100.0,0.01396,0.0,0.013392,close_trailing_short
14,1165,1000BONKUSDT,0.0,-0.0002792,999.9081571759999,-100.0,0.01396,-100.0,0.01396,entry_initial_normal_short
15,1209,1000PEPEUSDT,-0.03830000000000001,-0.00013999,999.8697171859999,500.0,0.0013999,0.0,0.0013233,close_trailing_short
16,1210,1000PEPEUSDT,0.0,-0.00014087,999.8695763159999,-500.0,0.0014087,-500.0,0.0014087,entry_initial_normal_short
17,1401,1000BONKUSDT,-0.06169999999999995,-0.00029154,999.8075847759999,100.0,0.014577,0.0,0.01396,close_trailing_short
18,1402,1000BONKUSDT,0.0,-0.0002907,999.8072940759998,-100.0,0.014535,-100.0,0.014535,entry_initial_normal_short
19,1442,1000BONKUSDT,-0.07940000000000014,-0.00030658000000000004,999.7275874959998,100.0,0.015329,0.0,0.014535,close_trailing_short
20,1443,1000BONKUSDT,0.0,-0.00030544000000000003,999.7272820559998,-100.0,0.015272,-100.0,0.015272,entry_initial_normal_short
21,1484,SHIB1000USDT,-0.027930000000000003,-0.000150724,999.6992013319998,70.0,0.010766,0.0,0.010367,close_trailing_short
22,1485,SHIB1000USDT,0.0,-0.00015071000000000003,999.6990506219998,-70.0,0.010765,-70.0,0.010765,entry_initial_normal_short
23,1487,DOGEUSDT,-0.028000000000000025,-0.000149088,999.6709015339999,8.0,0.09318,0.0,0.08968,close_trailing_short
24,1490,DOGEUSDT,0.0,-0.00014860800000000002,999.6707529259999,-8.0,0.09288,-8.0,0.09288,entry_initial_normal_short
25,1507,1000PEPEUSDT,-0.01620000000000007,-0.00014411,999.6544088159999,500.0,0.0014411,0.0,0.0014087,close_trailing_short
26,1508,1000PEPEUSDT,0.0,-0.00014391000000000002,999.6542649059999,-500.0,0.0014391,-500.0,0.0014391,entry_initial_normal_short
27,1981,1000BONKUSDT,0.03630000000000005,-0.00029818000000000005,999.6902667259999,100.0,0.014909,0.0,0.015272,close_trailing_short
28,1983,1000BONKUSDT,0.0,-0.0002973,999.6899694259998,-100.0,0.014865,-100.0,0.014865,entry_initial_normal_short
29,2217,1000BONKUSDT,1.9281999999999997,-0.00539676,1001.6127726659998,-1900.0,0.014202,0.0,0.013187157894736842,close_trailing_long
30,2218,1000BONKUSDT,0.0,-0.0028422,1001.6099304659998,1000.0,0.014211,1000.0,0.014211,entry_initial_normal_long
