,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
0,24760,BCHUSDT,0.0,-0.026752864,999.973247136,0.368,363.49,0.368,363.49,entry_initial_normal_long
1,26582,BTCUSDT,0.0,-0.025896300000000004,999.947350836,0.015,8632.1,0.015,8632.1,entry_initial_normal_long
2,26583,ETHUSDT,0.0,-0.026728000000000005,999.920622836,0.8,167.05,0.8,167.05,entry_initial_normal_long
3,32755,BCHUSDT,0.0,-0.026676504,999.893946332,0.414,322.18,0.782,341.62,entry_trailing_cropped_long
4,33006,BCHUSDT,-0.9374400000000003,-0.0040486,998.9524577320001,-0.062,326.5,0.72,341.62,close_unstuck_long
5,33019,BCHUSDT,-0.9176000000000007,-0.004052568,998.0308051640001,-0.062,326.82,0.658,341.62,close_unstuck_long
6,33020,BCHUSDT,-0.9132600000000011,-0.0040534360000000005,997.1134917280001,-0.062,326.89,0.596,341.62,close_unstuck_long
7,33021,BCHUSDT,-0.9132600000000011,-0.0040534360000000005,996.1961782920001,-0.062,326.89,0.534,341.62,close_unstuck_long
8,33022,BCHUSDT,-0.9113999999999993,-0.004053808,995.2807244840001,-0.062,326.92,0.472,341.62,close_unstuck_long
9,33023,BCHUSDT,-0.9064400000000002,-0.004054800000000001,994.370229684,-0.062,327.0,0.41,341.62,close_unstuck_long
10,33024,BCHUSDT,-0.9070599999999998,-0.004054676,993.459115008,-0.062,326.99,0.348,341.62,close_unstuck_long
11,52669,XRPUSDT,0.0,-0.026559168,993.4325558400001,494.4,0.2686,494.4,0.2686,entry_initial_normal_long
12,60950,ETHUSDT,69.216,-0.0405712,1062.60798464,-0.8,253.57,0.0,167.05,close_trailing_long
13,62410,LTCUSDT,0.0,-0.028410700000000004,1062.57957394,1.805,78.7,1.805,78.7,entry_initial_normal_long
14,62414,ETHUSDT,0.0,-0.028409822000000005,1062.551164118,0.553,256.87,0.553,256.87,entry_initial_normal_long
15,65748,EOSUSDT,0.0,-0.028415999999999997,1062.522748118,30.0,4.736,30.0,4.736,entry_initial_normal_long
16,67246,LTCUSDT,0.0,-0.028409142000000005,1062.4943389759999,2.033,69.87,3.838,74.02272277227723,entry_trailing_normal_long
17,67255,EOSUSDT,0.0,-0.028420440000000005,1062.465918536,34.6,4.107,64.6,4.399105263157895,entry_trailing_normal_long
18,67367,LTCUSDT,-0.22542603960396138,-0.004011360000000001,1062.236481136396,-0.274,73.2,3.564,74.02272277227723,close_unstuck_long
19,67577,LTCUSDT,-0.441184207920792,-0.004012622000000001,1061.791284306475,-0.277,72.43,3.287,74.02272277227723,close_unstuck_long
20,67579,LTCUSDT,-0.4384142079207945,-0.004013176,1061.3488569225542,-0.277,72.44,3.01,74.02272277227723,close_unstuck_long
21,67580,LTCUSDT,-0.4119914851485163,-0.004003656,1060.9328617814058,-0.276,72.53,2.734,74.02272277227723,close_unstuck_long
22,67582,LTCUSDT,-0.3554987623762383,-0.004000150000000001,1060.5733628690296,-0.275,72.73,2.459,74.02272277227723,close_unstuck_long
23,67584,LTCUSDT,-0.27200603960396186,-0.004002044000000001,1060.2973547854256,-0.274,73.03,2.185,74.02272277227723,close_unstuck_long
24,67585,LTCUSDT,-0.241866039603962,-0.0040080720000000005,1060.0514806738215,-0.274,73.14,1.911,74.02272277227723,close_unstuck_long
25,67594,EOSUSDT,-0.14416842105263186,-0.0013788800000000003,1059.905933372769,-1.6,4.309,63.0,4.399105263157895,close_unstuck_long
26,67596,EOSUSDT,-0.14256842105263276,-0.0013792000000000001,1059.7619857517163,-1.6,4.31,61.4,4.399105263157895,close_unstuck_long
27,67597,EOSUSDT,-0.14256842105263276,-0.0013792000000000001,1059.6180381306638,-1.6,4.31,59.8,4.399105263157895,close_unstuck_long
28,67599,EOSUSDT,-0.1345684210526315,-0.0013808000000000002,1059.482088909611,-1.6,4.315,58.2,4.399105263157895,close_unstuck_long
29,67600,EOSUSDT,-0.1345684210526315,-0.0013808000000000002,1059.3461396885584,-1.6,4.315,56.6,4.399105263157895,close_unstuck_long
30,67601,EOSUSDT,-0.11856842105263184,-0.0013840000000000002,1059.2261872675058,-1.6,4.325,55.0,4.399105263157895,close_unstuck_long
31,67602,EOSUSDT,-0.13776842105263257,-0.00138016,1059.087038686453,-1.6,4.313,53.4,4.399105263157895,close_unstuck_long
32,67603,EOSUSDT,-0.13776842105263257,-0.00138016,1058.9478901054003,-1.6,4.313,51.8,4.399105263157895,close_unstuck_long
33,67604,EOSUSDT,-0.11856842105263184,-0.0013840000000000002,1058.8279376843477,-1.6,4.325,50.2,4.399105263157895,close_unstuck_long
34,67605,EOSUSDT,-0.11376842105263166,-0.0013849600000000004,1058.7127843032952,-1.6,4.328,48.6,4.399105263157895,close_unstuck_long
35,67606,EOSUSDT,-0.10736842105263236,-0.0013862400000000002,1058.6040296422425,-1.6,4.332,47.0,4.399105263157895,close_unstuck_long
36,67607,EOSUSDT,-0.1345684210526315,-0.0013808000000000002,1058.4680804211898,-1.6,4.315,45.4,4.399105263157895,close_unstuck_long
37,67608,EOSUSDT,-0.12336842105263202,-0.00138304,1058.3433289601371,-1.6,4.322,43.8,4.399105263157895,close_unstuck_long
38,67609,EOSUSDT,-0.13296842105263237,-0.00138112,1058.2089794190845,-1.6,4.316,42.2,4.399105263157895,close_unstuck_long
39,67610,EOSUSDT,-0.13136842105263186,-0.00138144,1058.0762295580319,-1.6,4.317,40.6,4.399105263157895,close_unstuck_long
40,67611,EOSUSDT,-0.1281684210526322,-0.0013820800000000002,1057.9466790569793,-1.6,4.319,39.0,4.399105263157895,close_unstuck_long
