,minute,symbol,pnl,fee_paid,balance,qty,price,psize,pprice,type
0,2,SOLUSDT,0.0,-0.0061209,999.9938791,0.3,102.015,0.3,102.015,entry_initial_normal_long
1,2,1000RATSUSDT,0.0,-0.00064886,999.99323024,-10.0,0.32443,-10.0,0.32443,entry_initial_normal_short
2,2,SOLUSDT,0.0,-0.0020403000000000005,999.99118994,-0.1,102.015,-0.1,102.015,entry_initial_normal_short
3,3,1000RATSUSDT,0.0,-0.00584946,999.98534048,90.0,0.32497,90.0,0.32497,entry_initial_normal_long
4,18,1000RATSUSDT,0.0,-0.00064234,999.98469814,-10.0,0.32117,-20.0,0.3228,entry_trailing_normal_short
5,28,1000RATSUSDT,0.0,-0.0006395400000000001,999.9840586,-10.0,0.31977,-30.0,0.32178999999999996,entry_trailing_normal_short
6,77,1000RATSUSDT,0.0,-0.0026124800000000004,999.98144612,40.0,0.32656,130.0,0.3254592307692308,entry_trailing_cropped_long
7,99,SOLUSDT,0.0,-0.0020890600000000002,999.97935706,0.1,104.453,0.4,102.62449999999998,entry_trailing_cropped_long
8,124,1000RATSUSDT,0.0,-0.0012964400000000003,999.97806062,-20.0,0.32411,-50.0,0.32271799999999995,entry_trailing_normal_short
9,163,1000RATSUSDT,0.0,-0.0019551,999.9761055199999,-30.0,0.32585,-80.0,0.32389249999999997,entry_trailing_normal_short
10,197,SOLUSDT,0.0,-0.0020646,999.9740409199999,-0.1,103.23,-0.2,102.6225,entry_trailing_normal_short
11,257,SOLUSDT,0.0,-0.0020487400000000003,999.9719921799999,-0.1,102.437,-0.3,102.56066666666668,entry_trailing_normal_short
12,2357,1000RATSUSDT,0.11709999999999665,-0.00848536,1000.08060682,-130.0,0.32636,0.0,0.3254592307692308,close_trailing_long
13,2358,1000RATSUSDT,0.0,-0.005867100000000001,1000.0747397199999,90.0,0.32595,90.0,0.32595,entry_initial_normal_long
14,2358,SOLUSDT,0.0,-0.00217708,1000.0725626399999,0.1,108.854,0.5,103.87039999999999,entry_trailing_cropped_long
15,2374,1000RATSUSDT,0.0,-0.00264832,1000.0699143199998,40.0,0.33104,130.0,0.32751615384615385,entry_trailing_cropped_long
16,3549,1000RATSUSDT,-1.3878999999999986,-0.00823784,998.6737764799998,-130.0,0.31684,0.0,0.32751615384615385,close_trailing_long
17,3550,1000RATSUSDT,0.0,-0.005702940000000001,998.6680735399998,90.0,0.31683,90.0,0.31683,entry_initial_normal_long
18,3598,1000RATSUSDT,-2.5613999999999986,-0.005190660000000001,996.1014828799998,-90.0,0.28837,0.0,0.31683,close_trailing_long
19,3599,1000RATSUSDT,0.0,-0.005759600000000001,996.0957232799998,100.0,0.28798,100.0,0.28798,entry_initial_normal_long
20,3601,SOLUSDT,0.0,-0.028620000000000007,996.0671032799997,1.5,95.4,2.0,97.51760000000002,entry_grid_normal_long
21,3603,1000RATSUSDT,0.0,-0.00223936,996.0648639199998,40.0,0.27992,140.0,0.28567714285714285,entry_trailing_cropped_long
22,3603,SOLUSDT,0.32936666666666814,-0.0019853400000000004,996.3922452466664,0.1,99.267,-0.2,102.56066666666668,close_trailing_short
23,3605,1000RATSUSDT,0.0,-0.0005444600000000001,996.3917007866664,10.0,0.27223,150.0,0.2847806666666666,entry_trailing_cropped_long
24,3606,SOLUSDT,0.0,-0.0019679800000000002,996.3897328066664,-0.1,98.399,-0.3,101.17344444444447,entry_trailing_normal_short
25,3608,1000RATSUSDT,0.0,-0.0235521,996.3661807066665,450.0,0.26169,600.0,0.2674626666666666,entry_grid_normal_long
26,3608,SOLUSDT,0.0,-0.1049728,996.2612079066664,5.9,88.96,7.9,91.12648101265822,entry_grid_normal_long
27,3609,1000RATSUSDT,0.0,-0.08700996000000001,996.1741979466664,1780.0,0.24441,2380.0,0.25022159663865545,entry_grid_normal_long
28,3610,1000RATSUSDT,0.0,-0.16437930000000003,996.0098186466664,3670.0,0.22395,6050.0,0.23428494214876033,entry_grid_cropped_long
29,3610,SOLUSDT,-59.48237468354421,-0.10839048000000001,936.4190534831222,-6.6,82.114,1.3,91.12648101265822,close_trailing_long
30,3610,SOLUSDT,0.0,-0.1394232,936.2796302831222,8.6,81.06,9.9,82.38186114307632,entry_grid_cropped_long
31,3611,SOLUSDT,8.610166628308416,-0.02149368,944.8683032314306,-1.2,89.557,8.7,82.38186114307632,close_grid_long
32,3611,SOLUSDT,2.323288888888894,-0.00358228,947.1880098403194,0.2,89.557,-0.1,101.17344444444447,close_trailing_short
33,3612,SOLUSDT,0.839944444444447,-0.00185548,948.0260988047638,0.1,92.774,0.0,101.17344444444447,close_grid_short
34,3613,1000RATSUSDT,16.42516892561986,-0.14010744,964.3111602903837,-2920.0,0.23991,3130.0,0.23428494214876033,close_grid_long
35,3613,1000RATSUSDT,0.07675057851239675,-0.00048392000000000004,964.3874269488961,-10.0,0.24196,3120.0,0.23428494214876033,close_grid_long
36,3614,1000RATSUSDT,2.128274999999999,-0.0015177,966.5141842488961,30.0,0.25295,-50.0,0.32389249999999997,close_trailing_short
37,3616,SOLUSDT,18.067580514000785,-0.0250328,984.5567319628968,-1.3,96.28,7.4,82.38186114307632,close_unstuck_long
38,3617,1000RATSUSDT,0.4989249999999995,-0.0005480000000000001,985.0551089628968,10.0,0.274,-40.0,0.32389249999999997,close_trailing_short
